,Account Name: Account Name,count,Order_Won,min,max,mean,sum,Bundle,Cloud : New,Cloud : Renewal,Hardware : FRUs,Hardware : Stations,Other Services : CPaaS,Other Services : Validation,Other Support Services : Activation,Warranty : Assure,Warranty : Assure Renewal,LastPurchase,FirstPurchase,output(kW)
14229,Mark III Construction,1,1,28240.0,28240.0,28240.0,28240.0,1.0,2800.0,0.0,260.0,23435.0,0.0,0.0,1485.0,0.0,0.0,272,272,36.0
14230,"Mark IV Capital, Inc.",3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,412,0.0
14231,Mark IV Enterprises Inc.,2,2,750.0,1320.0,1035.0,2070.0,0.0,0.0,660.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,223,223,0.0
14232,Mark Jacobson Toyota,1,1,1667.0,1667.0,1667.0,1667.0,1.0,0.0,0.0,0.0,1008.0,0.0,0.0,85.0,574.0,0.0,114,114,12.0
14233,Mark Martin Kia,2,2,1519.0,9304.0,5411.5,10823.0,2.0,385.0,0.0,0.0,9758.0,0.0,0.0,297.0,383.0,0.0,369,369,34.5
14234,"Mark Miller Subaru, Inc.",1,1,4419.0,4419.0,4419.0,4419.0,1.0,392.0,0.0,0.0,2990.0,0.0,509.0,170.0,358.0,0.0,216,216,12.0
14235,Mark Porter Chevrolet GMC Buick,2,2,2758.0,48177.0,25467.5,50935.0,2.0,4095.0,0.0,0.0,33615.0,0.0,1019.0,85.0,12121.0,0.0,189,342,43.25
14236,Mark Roberts,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,169,0.0
14237,Mark Rutemiller,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,139,0.0
14238,"Mark on Brickell Condos, The",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,107,0.0
14239,"Mark-Taylor, Inc.",4,4,690.0,25012.0,11177.5,44710.0,3.0,3920.0,345.0,431.0,37372.0,0.0,0.0,2079.0,0.0,0.0,149,621,50.400000000000006
14240,Market Square Tower,1,1,1380.0,1380.0,1380.0,1380.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217,217,0.0
14241,"Marketo, Inc.",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,203,0.0
14242,Marki Microwave,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,261,0.0
14243,"Markley Motors, Inc.",1,1,34169.0,34169.0,34169.0,34169.0,1.0,1019.0,0.0,0.0,32640.0,0.0,510.0,0.0,0.0,0.0,498,498,31.25
14244,Marlborough School,3,3,1075.0,1974.0,1574.6666666666667,4724.0,0.0,0.0,329.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,110,448,0.0
14245,Marlin Cove Sares-Regis,2,2,658.0,675.0,666.5,1333.0,0.0,0.0,329.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,376,429,0.0
14246,Marlin Spring,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14247,Marlowe Condominium Association,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
14248,Marlowe Place,1,1,1486.0,1486.0,1486.0,1486.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,297.0,629.0,0.0,302,302,0.0
14249,Marlowe River North Lennar,2,2,1856.0,2014.0,1935.0,3870.0,0.0,1316.0,361.0,0.0,0.0,0.0,0.0,698.0,0.0,412.0,175,586,0.0
14250,Marque Consultants,2,2,658.0,690.0,674.0,1348.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,552,0.0
14251,Marquis Management LLC,2,2,750.0,2640.0,1695.0,3390.0,0.0,0.0,660.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,232,236,0.0
14252,Marquis on Gaston,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14253,Marriott Courtyard,1,1,20400.0,20400.0,20400.0,20400.0,1.0,0.0,0.0,0.0,0.0,4080.0,0.0,0.0,0.0,0.0,292,292,14.4
14254,Marriott International,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14255,"Marriott International, Inc.",3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,504,14.4
14256,Marriott Ko,2,2,700.0,1974.0,1337.0,2674.0,0.0,0.0,329.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,232,455,0.0
14257,Marriott MOC,2,2,650.0,1467.0,1058.5,2117.0,0.0,0.0,345.0,250.0,0.0,0.0,0.0,0.0,0.0,777.0,253,366,0.0
14258,Marriott Spring Hill Suites,2,2,250.0,1154.0,702.0,1404.0,0.0,0.0,577.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,352,367,0.0
14259,Marriott's Heritage Club,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14260,"Marriott, Delta Hotels Santa Clara Silicon Valley",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,247,0.0
14261,Mars,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,110,0.0
14262,Mars Inc,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,282,0.0
14263,Marsac 49,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,280,0.0
14264,Marsalis,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,236,0.0
14265,Marsch Enterprises,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,139,0.0
14266,Marshall Dry Ridge Toyota,1,1,1667.0,1667.0,1667.0,1667.0,1.0,0.0,0.0,0.0,1008.0,0.0,0.0,85.0,574.0,0.0,111,111,12.0
14267,Marshall Property & Development LLC,1,1,3428.0,3428.0,3428.0,3428.0,0.0,2240.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,604,604,0.0
14268,"Marshall Square Investment Group, Inc.",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,509,0.0
14269,"Marshall Weinerman Real Estate, Inc.",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14270,Marshalltown Company,3,2,0.0,9880.0,3512.6666666666665,10538.0,1.0,2242.0,329.0,54.5,5408.0,0.0,0.0,0.0,2121.0,0.0,422,541,7.2
14271,Marsilles Condominiums,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,261,0.0
14272,Marston by Windsor 1 LLC,2,2,1075.0,30798.0,15936.5,31873.0,0.0,0.0,1319.0,700.0,0.0,0.0,0.0,0.0,2495.0,0.0,349,364,0.0
14273,Martel Construction Inc,1,1,9701.0,9701.0,9701.0,9701.0,1.0,658.0,0.0,72.5,7210.0,0.0,599.0,349.0,740.0,0.0,427,427,7.2
14274,Martha's Vineyard Airport,1,1,4450.0,4450.0,4450.0,4450.0,0.0,2354.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,0.0,250,250,0.0
14275,Martin Harding and Mazzotti LLP,1,1,22905.0,22905.0,22905.0,22905.0,0.0,11770.0,0.0,0.0,0.0,0.0,0.0,0.0,11135.0,0.0,141,141,0.0
14276,Martin Main Line Honda,1,1,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,404,404,0.0
14277,Martin Mazda,1,1,12880.0,12880.0,12880.0,12880.0,1.0,803.2,0.0,0.0,5103.2,0.0,0.0,537.6,1332.8,0.0,118,118,26.4
14278,Martin Swanty Auto Group,2,2,2028.0,9813.0,5920.5,11841.0,2.0,385.0,0.0,0.0,9758.0,0.0,1018.0,297.0,383.0,0.0,364,364,34.5
14279,Martin's Autocare,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,200,0.0
14280,"Martin-Brower Company, L.L.C., The",2,2,1380.0,1645.0,1512.5,3025.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,562,0.0
14281,Martine Center For Rehab,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,169,0.0
14282,Martino and Sons,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,442,0.0
14283,Martins Bike Shop,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,383,0.0
14284,Martins Real Estate,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,393,0.0
14285,"Martis Peak, LLC",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,0.0
14286,Marvell Semiconductor Inc.,2,2,1250.0,32154.0,16702.0,33404.0,0.0,0.0,329.0,1250.0,0.0,0.0,0.0,0.0,0.0,740.0,358,364,0.0
14287,"Marvin Engineering Co., Inc.",7,7,350.0,12618.0,4062.285714285714,28436.0,0.0,0.0,2638.0,2450.0,0.0,0.0,0.0,0.0,7485.0,0.0,265,455,0.0
14288,Mary Hinsdale Elementary School,1,1,9270.0,9270.0,9270.0,9270.0,1.0,2242.0,0.0,54.5,4798.0,0.0,0.0,0.0,2121.0,0.0,488,488,7.2
14289,"Mary Kay, Inc.",3,3,725.0,20000.0,7326.333333333333,21979.0,1.0,0.0,329.0,325.0,0.0,4000.0,0.0,0.0,0.0,596.0,302,478,14.4
14290,Mary Washington Hospital,4,4,270.0,3450.0,1816.25,7265.0,0.0,0.0,662.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,175,601,0.0
14291,Marygrove College Immaculata,1,1,9709.0,9709.0,9709.0,9709.0,1.0,2354.0,0.0,68.0,5060.0,0.0,0.0,0.0,2227.0,0.0,143,143,7.2
14292,Maryland Air National Guard,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,301,0.0
14293,Maryland Department of Budget and Management,3,2,0.0,52884.0,34659.333333333336,103978.0,2.0,16612.5,0.0,392.6666666666667,46785.5,0.0,1527.5,1930.5,10277.0,0.0,427,468,81.65
14294,Maryland Department of Transportation,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,110,0.0
14295,Maryland Energy Advisors LLC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14296,Maryland House of Delegates,4,4,325.0,2160.0,1072.5,4290.0,0.0,0.0,329.0,650.0,0.0,0.0,0.0,0.0,0.0,1162.0,331,538,0.0
14297,Maryland Institute College of Art,3,3,700.0,4162.0,2120.6666666666665,6362.0,0.0,0.0,178.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,162,580,0.0
14298,Maryland Senate House,1,1,725.0,725.0,725.0,725.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,471,471,0.0
14299,Maryland Transit Administration,7,6,0.0,395425.0,62460.142857142855,437221.0,1.0,8073.0,1180.58352402746,0.0,54906.0,0.0,0.0,0.0,9353.333333333334,0.0,146,576,1794.0
14300,Maryland Walk Condo,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,474,0.0
14301,Marysville Flats Apartments,1,1,25068.0,25068.0,25068.0,25068.0,0.0,2240.0,0.0,879.0,13572.0,0.0,2036.0,1188.0,2516.0,0.0,542,542,28.8
14302,Marysville Toyota,2,2,700.0,877.0,788.5,1577.0,0.0,0.0,292.3333333333333,700.0,0.0,0.0,0.0,0.0,0.0,0.0,292,415,0.0
14303,"Maryville, City",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,509,0.0
14304,MasParc & LAZ Parking,3,2,0.0,6467.0,2389.0,7167.0,0.0,219.0,0.0,700.0,0.0,0.0,0.0,349.0,0.0,0.0,302,638,0.0
14305,Maschinenfrabrik Bernard KRONE GmbH & Co. KG,3,3,62.5,125.0,83.33333333333333,250.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,110,594,0.0
14306,Masco Corp.,2,2,325.0,1316.0,820.5,1641.0,0.0,0.0,329.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,369,496,0.0
14307,"Masco Services, Inc.",2,1,0.0,658.0,329.0,658.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,531,0.0
14308,Mascott Equipment Company,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,509,0.0
14309,Mashcole Property Management,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14310,Masi,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537,537,0.0
14311,Masimo,4,4,228.0,79758.0,30261.75,121047.0,1.0,20178.0,1290.4444444444443,786.0,42183.0,0.0,0.0,0.0,16839.0,2179.0,294,629,64.8
14312,Mason City,2,2,6744.0,20224.0,13484.0,26968.0,2.0,5044.0,0.0,186.0,15361.0,0.0,1709.0,297.0,4371.0,0.0,331,519,21.6
14313,Mason House Inn Bed & Breakfast of Bentonsport Iowa,1,1,12000.0,12000.0,12000.0,12000.0,1.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,113,113,7.2
14314,Mason Village Inc,1,1,12000.0,12000.0,12000.0,12000.0,1.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,105,105,7.2
14315,Mason Vitamins,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,576,0.0
14316,Masonic Homes Elizabethtown,1,1,8010.0,8010.0,8010.0,8010.0,1.0,586.0,0.0,60.0,5839.0,0.0,509.0,297.0,659.0,0.0,218,218,7.2
14317,Masonic Temple Association,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,336,0.0
14318,Maspeth Federal Savings,3,3,1676.0,8439.0,3930.3333333333335,11791.0,1.0,2242.0,438.0,0.0,4326.0,0.0,0.0,0.0,1871.0,400.0,203,616,7.2
14319,Mass Audubon Society,5,4,0.0,2308.0,1229.0,6145.0,0.0,0.0,1731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,425,0.0
